addr,chargeTp,cpId,cpNm,cpStat,cpTp,csId,csNm,lat,longi,statUpdatedatetime
전라남도 목포시 신흥로 113 (실내지하)P2 지하주차장 내,1,4686,완속01,1,03,1584,제일2차하이빌 아파트,34.806862,126.431369,
전라남도 목포시 신흥로 113 (실내지하)P2 지하주차장 내,2,4685,급속01,1,10,1584,제일2차하이빌 아파트,34.806862,126.431369,
"경기도 화성시 봉담읍 동화길 82 (동화리, 동화마을동일하이빌아파트) P1주차장 1F 36",1,2433,완속03,1,03,771,봉담동일하이빌아파트,37.2163381406961,126.956447277092,
"경기도 화성시 봉담읍 동화길 82 (동화리, 동화마을동일하이빌아파트) P1주차장 1F 36",1,2432,완속02,1,03,771,봉담동일하이빌아파트,37.2163381406961,126.956447277092,
"경기도 화성시 봉담읍 동화길 82 (동화리, 동화마을동일하이빌아파트) P1주차장 1F 36",1,2431,완속01,1,03,771,봉담동일하이빌아파트,37.2163381406961,126.956447277092,
"경기도 화성시 봉담읍 동화길 82 (동화리, 동화마을동일하이빌아파트) P1주차장 1F 36",2,2430,급속01,1,10,771,봉담동일하이빌아파트,37.2163381406961,126.956447277092,
"제주특별자치도 제주시 복지로 72 (도남동, 방선문4차빌리지) 주차장",1,3536,완속02,2,03,1165,방선문3차빌리지,33.4862618992137,126.525749190993,
"제주특별자치도 제주시 복지로 72 (도남동, 방선문4차빌리지) 주차장",1,3535,완속01,2,03,1165,방선문3차빌리지,33.4862618992137,126.525749190993,
부산광역시 부산진구 중앙대로644번길 20 1층 주차장,2,8174,급속01,6,10,3120,부산교통공사 본사,35.1497692353,129.060459858,
"전라남도 장흥군 장흥읍 중앙로 24 (건산리, 한국전력공사장흥지점) (실외완전노출)건물 주차장",2,8152,급속02,1,10,3127,한전 장흥지사,34.6782598941,126.9085767312,
"전라남도 장흥군 장흥읍 중앙로 24 (건산리, 한국전력공사장흥지점) (실외완전노출)건물 주차장",2,8151,급속01,6,10,3127,한전 장흥지사,34.6782598941,126.9085767312,
충청북도 청주시 청원구 오창읍 오창중앙로 13 114동 지하1층주차장,1,7814,완속01,1,03,2959,우림필유1차아파트,36.708974,127.429209,
충청북도 청주시 청원구 오창읍 오창중앙로 13 114동 지하1층주차장,2,7813,급속01,1,10,2959,우림필유1차아파트,36.708974,127.429209,
서울특별시 강남구 세곡동 508 지하2층 102동,1,8209,완속03,1,03,3148,세곡리엔파크1단지,37.464100104388976,127.10096897113394,
서울특별시 강남구 세곡동 508 지하2층 102동,1,8208,완속02,2,03,3148,세곡리엔파크1단지,37.464100104388976,127.10096897113394,
서울특별시 강남구 세곡동 508 지하2층 102동,1,8207,완속01,1,03,3148,세곡리엔파크1단지,37.464100104388976,127.10096897113394,
전라남도 영암군 삼호읍 세가래로 73 (실외캐노피기설)삼호하나로마트 주차장,2,8694,급속02,1,10,3399,삼호농협하나로마트,34.748576,126.473109,
전라남도 영암군 삼호읍 세가래로 73 (실외캐노피기설)삼호하나로마트 주차장,2,8693,급속01,1,10,3399,삼호농협하나로마트,34.748576,126.473109,
부산 해운대구 송정광어골로 42 KT송정지사 앞 지상변압기 일체형 충전소,2,615,급속01,1,10,519,지상변압기일체형(송정KT앞 ),35.1777906769634,129.196554491252,
세종특별자치시 마음로 181 지하주차장,1,2650,완속03,1,03,855,가락마을10단지,36.513885,127.229269,
세종특별자치시 마음로 181 지하주차장,1,2649,완속02,6,03,855,가락마을10단지,36.513885,127.229269,
세종특별자치시 마음로 181 지하주차장,1,2648,완속01,1,03,855,가락마을10단지,36.513885,127.229269,
세종특별자치시 마음로 181 지하주차장,2,2647,급속01,1,10,855,가락마을10단지,36.513885,127.229269,
"부산광역시 연제구 과정로343번길 43 (연산동, 연산 자이) 지하3층 101동 입구",2,5767,급속02,1,10,1985,연산자이 아파트,35.18905996728896,129.08790672256518,
"부산광역시 연제구 과정로343번길 43 (연산동, 연산 자이) 지하3층 101동 입구",2,5766,급속01,1,10,1985,연산자이 아파트,35.18905996728896,129.08790672256518,
서울특별시 양천구 목동 900 테니스장 앞 지상,2,6765,급속04,1,10,2513,서울에너지공사 주차장,37.5401156047,126.8837631021,
서울특별시 양천구 목동 900 테니스장 앞 지상,2,6764,급속03,3,10,2513,서울에너지공사 주차장,37.5401156047,126.8837631021,
서울특별시 양천구 목동 900 테니스장 앞 지상,2,6763,급속02,1,10,2513,서울에너지공사 주차장,37.5401156047,126.8837631021,
서울특별시 양천구 목동 900 테니스장 앞 지상,2,6762,급속01,1,10,2513,서울에너지공사 주차장,37.5401156047,126.8837631021,
"부산광역시 연제구 연수로 110 (연산동, 연산 경동메르빌아파트) 지하2층 기둥D",1,5765,완속02,1,03,1984,연산경동메르빌,35.174530184180426,129.08285956650778,
